2020-09-25,20:22:54,-,2020-09-25,20:34:19
2020-09-25,20:34:19,-,2020-09-25,21:00:29
2020-09-25,21:00:29,-,2020-09-25,21:18:04
2020-09-25,21:18:04,-,2020-09-26,00:29:04
2020-09-26,00:29:04,-,2020-09-26,00:33:59
2020-09-26,00:33:59,-,2020-09-26,03:15:49
2020-09-26,03:15:49,-,2020-09-26,03:24:59
2020-09-26,03:24:59,-,2020-09-26,13:28:39
2020-09-26,13:28:39,-,2020-09-26,13:30:59
2020-09-26,13:30:59,-,2020-09-26,18:59:49
2020-09-26,18:59:49,-,2020-09-26,19:03:19
2020-09-26,19:03:19,-,2020-09-27,12:31:14
2020-09-27,12:31:14,-,2020-09-27,12:34:34
2020-09-27,12:34:34,-,2020-09-27,18:33:24
2020-09-27,18:33:24,-,2020-09-27,18:37:39
2020-09-27,18:37:39,-,2020-09-28,01:16:44
2020-09-28,01:16:44,-,2020-09-28,01:26:09
2020-09-28,01:26:09,-,2020-09-28,06:58:29
2020-09-28,06:58:29,-,2020-09-28,07:00:14
2020-09-28,07:00:14,-,2020-09-28,07:53:39
2020-09-28,07:53:39,-,2020-09-28,08:01:34
2020-09-28,08:01:34,-,2020-09-28,19:51:14
2020-09-28,19:51:14,-,2020-09-28,19:59:04
2020-09-28,19:59:04,-,2020-09-28,22:14:24
2020-09-28,22:14:24,-,2020-09-28,22:25:59
2020-09-28,22:25:59,-,2020-09-28,22:55:54
2020-09-28,22:55:54,-,2020-09-28,23:09:14
2020-09-28,23:09:14,-,2020-09-29,02:47:29
2020-09-29,02:47:29,-,2020-09-29,03:03:59
2020-09-29,03:03:59,-,2020-09-29,05:19:44
2020-09-29,05:19:44,-,2020-09-29,05:28:39
2020-09-29,05:28:39,-,2020-09-29,21:56:59
2020-09-29,21:56:59,-,2020-09-29,22:34:29
2020-09-29,22:34:29,-,2020-09-29,23:54:34
2020-09-29,23:54:34,-,2020-09-29,23:55:24
2020-09-29,23:55:24,-,2020-09-30,13:02:59
2020-09-30,13:02:59,-,2020-09-30,13:02:59
2020-09-30,13:02:59,-,2020-09-30,15:52:09
2020-09-30,15:52:09,-,2020-09-30,15:54:54
2020-09-30,15:54:54,-,2020-09-30,17:43:39
2020-09-30,17:43:39,-,2020-09-30,17:44:54
2020-09-30,17:44:54,-,2020-10-01,10:49:44
2020-10-01,10:49:44,-,2020-10-01,10:55:19
2020-10-01,10:55:19,-,2020-10-01,11:54:09
2020-10-01,11:54:09,-,2020-10-01,11:57:39
2020-10-01,11:57:39,-,2020-10-01,17:53:14
2020-10-01,17:53:14,-,2020-10-01,17:54:39
2020-10-01,17:54:39,-,2020-10-01,22:02:14
2020-10-01,22:02:14,-,2020-10-01,22:04:14
2020-10-01,22:04:14,-,2020-10-02,00:09:24
2020-10-02,00:09:24,-,2020-10-02,00:18:14
2020-10-02,00:18:14,-,2020-10-02,13:41:14
2020-10-02,13:41:14,-,2020-10-02,13:53:24
2020-10-02,13:53:24,-,2020-10-02,14:24:04
2020-10-02,14:24:04,-,2020-10-02,14:33:59
2020-10-02,14:33:59,-,2020-10-02,18:18:39
2020-10-02,18:18:39,-,2020-10-02,18:19:59
2020-10-02,18:19:59,-,2020-10-02,23:15:59
2020-10-02,23:15:59,-,2020-10-02,23:19:09
2020-10-02,23:19:09,-,2020-10-03,08:00:39
2020-10-03,08:00:39,-,2020-10-03,08:08:49
2020-10-03,08:08:49,-,2020-10-03,09:30:59
2020-10-03,09:30:59,-,2020-10-03,09:34:19
2020-10-03,09:34:19,-,2020-10-03,09:52:49
2020-10-03,09:52:49,-,2020-10-03,10:07:39
2020-10-03,10:07:39,-,2020-10-03,15:09:39
2020-10-03,15:09:39,-,2020-10-03,15:16:04
2020-10-03,15:16:04,-,2020-10-03,18:19:14
2020-10-03,18:19:14,-,2020-10-03,18:21:24
2020-10-03,18:21:24,-,2020-10-03,23:15:29
2020-10-03,23:15:29,-,2020-10-03,23:41:14
2020-10-03,23:41:14,-,2020-10-04,00:38:49
2020-10-04,00:38:49,-,2020-10-04,00:39:39
2020-10-04,00:39:39,-,2020-10-04,04:22:24
2020-10-04,04:22:24,-,2020-10-04,04:25:54
2020-10-04,04:25:54,-,2020-10-04,08:25:04
2020-10-04,08:25:04,-,2020-10-04,08:33:54
2020-10-04,08:33:54,-,2020-10-04,12:44:59
2020-10-04,12:44:59,-,2020-10-04,12:45:29
2020-10-04,12:45:29,-,2020-10-04,21:49:49
2020-10-04,21:49:49,-,2020-10-04,22:06:54
2020-10-04,22:06:54,-,2020-10-05,00:14:39
2020-10-05,00:14:39,-,2020-10-05,00:18:49
2020-10-05,00:18:49,-,2020-10-05,06:22:04
2020-10-05,06:22:04,-,2020-10-05,06:28:44
2020-10-05,06:28:44,-,2020-10-05,14:10:34
2020-10-05,14:10:34,-,2020-10-05,14:10:44
2020-10-05,14:10:44,-,2020-10-05,16:22:09
2020-10-05,16:22:09,-,2020-10-05,16:22:14
2020-10-05,16:22:14,-,2020-10-06,05:19:14
